0 credits,1 credits,2 credits,3 credits,4 credits,5 credits,6 credits,7 credits,8 credits,9 credits,10 credits
29,21,15,17,7,6,1,3,0,0,1
28,23,14,17,7,6,1,3,0,0,1
27,24,14,18,6,6,1,3,0,0,1
27,24,15,17,6,5,2,3,0,0,1
27,24,15,17,6,5,2,3,0,0,1
28,23,14,18,6,5,2,3,0,0,1
29,22,14,17,7,5,2,3,0,0,1
29,22,14,17,7,5,2,3,0,0,1
30,21,13,18,7,5,2,3,0,0,1
30,21,13,18,7,5,2,3,0,0,1
31,20,13,18,7,4,3,3,0,0,1
31,21,12,18,7,4,2,4,0,0,1
30,22,12,18,7,4,2,4,0,1,0
30,22,12,18,7,4,2,4,0,1,0
30,22,13,17,7,4,2,3,1,1,0
30,22,13,17,7,4,2,3,1,1,0
30,23,11,18,7,4,2,3,1,1,0
29,24,12,17,7,4,2,3,1,1,0
29,25,11,16,8,4,2,3,1,1,0
30,23,12,16,8,4,2,3,1,1,0
30,23,12,16,8,4,2,3,1,1,0
30,23,12,16,8,3,4,2,1,1,0
29,24,12,17,7,3,4,2,1,1,0
30,22,13,17,7,3,4,2,1,1,0
29,23,14,16,7,3,4,2,1,1,0
29,23,14,16,7,3,4,2,1,1,0
28,23,15,16,7,4,3,2,1,1,0
27,24,16,15,7,4,3,2,1,1,0
28,23,15,16,7,4,3,2,1,1,0
28,23,15,16,7,4,3,2,1,1,0
28,23,15,16,7,4,3,2,1,1,0
28,22,16,16,7,4,4,1,1,1,0
27,24,15,16,7,4,4,1,1,1,0
27,24,15,16,7,4,4,1,1,1,0
28,22,16,16,7,4,4,1,1,1,0
28,22,16,15,8,4,4,1,2,0,0
29,20,17,15,8,4,4,1,2,0,0
29,19,18,16,7,4,4,1,2,0,0
30,18,18,16,6,5,4,1,2,0,0
30,17,20,15,6,5,4,1,2,0,0
30,17,20,15,6,5,4,1,2,0,0
30,17,20,15,6,5,4,1,2,0,0
29,18,21,14,6,5,4,1,2,0,0
29,18,21,14,6,5,4,1,2,0,0
29,17,23,13,6,5,4,1,2,0,0
30,16,22,14,6,5,4,1,2,0,0
29,18,21,14,6,5,4,1,2,0,0
29,18,21,14,6,5,4,1,2,0,0
29,18,22,12,7,5,4,1,2,0,0
28,20,21,12,7,5,4,1,2,0,0
28,19,23,11,7,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
29,19,21,11,8,5,4,1,2,0,0
30,18,21,11,7,6,4,1,2,0,0
29,19,21,11,7,7,3,1,2,0,0
29,19,21,11,7,7,3,1,2,0,0
29,19,21,11,7,7,3,1,2,0,0
28,20,21,11,8,6,3,1,2,0,0
27,21,21,12,7,6,3,1,2,0,0
28,20,20,13,7,6,3,1,2,0,0
28,20,21,12,6,7,3,1,2,0,0
28,20,21,12,6,7,3,1,2,0,0
28,19,22,12,7,6,3,1,2,0,0
29,17,23,12,7,6,3,1,2,0,0
29,17,24,10,8,6,3,1,2,0,0
30,16,24,9,9,6,3,1,2,0,0
30,15,25,9,10,5,3,1,2,0,0
30,16,24,9,9,6,3,1,2,0,0
